,Date, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+, SOHO 55–80 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STA/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,STB/HET 40–100 MeV p+,X-ray,X-ray
ID,Date,Onset [UT],φC [°],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],R2,Onset Date,Onset [UT],ΦC [°],VDA s [AU],VDA t0 + 500 s [UT],R2,Onset Date,Onset [UT],φC [°],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],R2,"flare max. Date
DI/dt","flare max. [UT]
DI/dt"
36,2013 Dec. 28,18:32,52,2.06±0.01,2013 Dec. 28,17:55±00:01,0.995,2013 Dec. 29,06:18,-89, ,,,2013 Dec. 29,01:31,-141, 12.60±4.45 ,2013 Dec. 28,19:55±02:32,0.728,,
37,2014 Jan. 06,,22,,,    ,,2014 Jan. 06,12:42,-133,4.93±3.02,11:45±01:52,0.471,2014 Jan. 07,00:58,161,17.27±4.68  ,2014 Jan. 06,19:30±03:03,0.774,2014 Jan. 06,07:43
38,2014 Jan. 07,19:25,-58, 3.71±0.02,2014 Jan. 07, 18:10±00:03,0.99,2014 Jan. 08,00:41,151,16.21±1.67,19:07±01:02,0.941,2014 Jan. 08,01:31,68,8.53±1.97,2014 Jan. 07,22:43±01:18,0.826,2014 Jan. 07,18:18
39,2014 Feb. 25,03:05,-138,  4.23±0.10,2014 Feb. 25,  01:55±00:11,0.872,2014 Feb. 25,01:35,59,1.11±0.07,01:29±00:04,0.965,2014 Feb. 25,01:36,0,1.63±0.11,2014 Feb. 25,01:14±00:05,0.959,2014 Feb. 25,00:46
40,2014 Mar. 04,,,,,          ,,2014 Mar. 04,19:24,-129,1.87±0.34   , 19:02±00:12,0.82,2014 Mar. 05,10:35,163,              ,,,,2014 Mar. 04,18:22
41,2014 Mar. 05,,,,,          ,,2014 Mar. 05,14:48,-42,  4.38±0.58    ,13:35±00:21,0.88,2014 Mar. 05,21:49,-89,,,,,,
42,2014 Sep. 01,20:41,169, 9.20±0.27,2014 Sep. 01, 17:39±00:31,0.786,,,6,,,,2014 Sep. 01,11:49,-27,2.42±0.39    ,2014 Sep. 01,11:30±00:17,0.847,,
43,2014 Sep. 10,19:28,-71, 1.90±0.16,2014 Sep. 10, 19:44±00:14,0.918,,BG,,,,,2014 Sep. 10,21:39,80,7.78±1.82    ,2014 Sep. 10,19:47±01:13,0.755,2014 Sep. 10,17:33
44,2014 Sep. 25,00:05,127, 6.05±0.25,2014 Sep. 24, 22:25±00:36,0.336,,,-50,,,,2014 Sep. 24,22:47,-81,4.11±0.26    ,2014 Sep. 24,21:38±00:14,0.956,,
45,2014 Dec. 13,,95,,,,,,,,,,,,,,,,,,,
46,2015 Jul. 01,15:32,, 1.41±0.05,2015 Jul. 01,15:02±00:04,0.98,,,,,,,,,,,,,,,
